Gene ID,Position
Pg_Scaffold1171.1,878
Pg_Scaffold1171.2,4160
Pg_Scaffold1171.3,4512
Pg_Scaffold1171.4,4909
Pg_Scaffold1171.5,5907
Pg_Scaffold1171.6,5991
Pg_Scaffold1171.7,6583
Pg_Scaffold1171.8,7242
Pg_Scaffold1171.9,7508
Pg_Scaffold1171.10,7528
Pg_Scaffold1171.11,8315
Pg_Scaffold1171.12,8384
Pg_Scaffold1171.13,8917
Pg_Scaffold1171.14,9182
Pg_Scaffold1171.15,9525
Pg_Scaffold1171.16,10006
Pg_Scaffold1171.17,10148
Pg_Scaffold1171.18,10921
Pg_Scaffold1171.19,11032
Pg_Scaffold1171.20,13143
Pg_Scaffold1171.21,13601
Pg_Scaffold1171.22,13738
Pg_Scaffold1171.23,14138
Pg_Scaffold1171.24,14169
Pg_Scaffold1171.25,15474
Pg_Scaffold1171.26,16391
Pg_Scaffold1171.27,16796
Pg_Scaffold1171.28,16852
Pg_Scaffold1171.29,17825
Pg_Scaffold1171.30,18574
Pg_Scaffold1171.31,18801
Pg_Scaffold1171.32,19545
Pg_Scaffold1171.33,20191
Pg_Scaffold1171.34,21643
Pg_Scaffold1171.35,22273
Pg_Scaffold1171.36,24080
Pg_Scaffold1171.37,25058
Pg_Scaffold1171.38,25391
Pg_Scaffold1171.39,25469
Pg_Scaffold1171.40,25828
Pg_Scaffold1171.41,27559
Pg_Scaffold1171.42,28540
Pg_Scaffold1171.43,28616
Pg_Scaffold1171.44,28689
Pg_Scaffold1171.45,29444
Pg_Scaffold1171.46,29807
Pg_Scaffold1171.47,30111
Pg_Scaffold1171.48,31192
Pg_Scaffold1171.49,32317
Pg_Scaffold1171.50,33160
Pg_Scaffold1171.51,33241
Pg_Scaffold1171.52,33799
Pg_Scaffold1171.53,34364
Pg_Scaffold1171.54,36124
Pg_Scaffold1171.55,36295
Pg_Scaffold1171.56,36464
Pg_Scaffold1171.57,36653
Pg_Scaffold1171.58,37314
Pg_Scaffold1171.59,37506
Pg_Scaffold1171.60,38521
Pg_Scaffold1171.61,38734
Pg_Scaffold1171.62,38885
Pg_Scaffold1171.63,39324
Pg_Scaffold1171.64,39378
Pg_Scaffold1171.65,39759
Pg_Scaffold1171.66,40192
Pg_Scaffold1171.67,40242
Pg_Scaffold1171.68,40318
Pg_Scaffold1171.69,40370
Pg_Scaffold1171.70,40419
Pg_Scaffold1171.71,40720
Pg_Scaffold1171.72,41410
Pg_Scaffold1171.73,42138
Pg_Scaffold1171.74,42609
Pg_Scaffold1171.75,43028
Pg_Scaffold1171.76,43238
Pg_Scaffold1171.77,43286
Pg_Scaffold1171.78,43678
Pg_Scaffold1171.79,43911
Pg_Scaffold1171.80,44801
Pg_Scaffold1171.81,44962
Pg_Scaffold1171.82,45501
Pg_Scaffold1171.83,45866
Pg_Scaffold1171.84,45870
Pg_Scaffold1171.85,46084
Pg_Scaffold1171.86,47105
Pg_Scaffold1171.87,48210
Pg_Scaffold1171.88,48274
Pg_Scaffold1171.89,48585
Pg_Scaffold1171.90,49096
Pg_Scaffold1171.91,50042
Pg_Scaffold1171.92,50713
Pg_Scaffold1171.93,54367
Pg_Scaffold1171.94,54926
Pg_Scaffold1171.95,56963
Pg_Scaffold1171.96,57311
Pg_Scaffold1171.97,57387
Pg_Scaffold1171.98,57884
Pg_Scaffold1171.99,58012
Pg_Scaffold1171.100,58855
